date;category;title;amount
31/03/2021;restaurante;Ifood *Ifood;38.98
31/03/2021;serviços;Pag*Vilagemarcasp 5/5;249
05/04/2021;restaurante;Ifood *Ifood;43.99
06/04/2021;serviços;Iugu*Agilizetecno;111.9
06/04/2021;;Pagamento recebido;-1685.01
07/04/2021;restaurante;Ifood *Ifood;38.98
10/04/2021;restaurante;Ifood *Ifood;37.48
10/04/2021;restaurante;Ifood *Ifood;56.39
10/04/2021;restaurante;Ifood *Ifood;44.39
12/04/2021;supermercado;Posto Chame Chame;50
12/04/2021;supermercado;Posto Chame Chame;10
12/04/2021;educação;Ponto Cultural;36.5
12/04/2021;restaurante;Pag*Lucasalmeida;4
12/04/2021;restaurante;Ifood *Ifood;54
12/04/2021;restaurante;Ifood *Ifood;40.99
12/04/2021;vestuário;Delipa Tudo;67
12/04/2021;restaurante;Shopping Barra;42.2
12/04/2021;restaurante;R.S.S. Comercial de Al;21.69
13/04/2021;restaurante;R.S.S. Comercial de Al;8.24
14/04/2021;restaurante;R.S.S. Comercial de Al;22.54
15/04/2021;restaurante;Ifood *Ifood;28.9
15/04/2021;serviços;Plano Oi*Oi Controle;34.88
15/04/2021;restaurante;R.S.S. Comercial de Al;32.89
15/04/2021;restaurante;Ifood *Ifood;34.99
16/04/2021;restaurante;Ifood *Ifood;38.79
17/04/2021;restaurante;Ifood *Ifood;57.49
17/04/2021;restaurante;Ifood *Ifood;43.59
17/04/2021;restaurante;Pag*Sanmeirestaurante;31.77
17/04/2021;restaurante;R.S.S. Comercial de Al;23.43
19/04/2021;restaurante;Ifood *Ifood;54
19/04/2021;restaurante;Ifood *Ifood;40
19/04/2021;restaurante;R.S.S. Comercial de Al;14.13
19/04/2021;restaurante;Ifood *Ifood;25.9
20/04/2021;restaurante;Pag*Sanmeirestaurante;32.27
20/04/2021;restaurante;Ifd*Ifood;43.99
20/04/2021;restaurante;Ifd*Ifood;133.34
20/04/2021;restaurante;R.S.S. Comercial de Al;16.55
21/04/2021;restaurante;Ifood *Ifood;37.48
21/04/2021;restaurante;Ifood *Ifood;46.19
21/04/2021;restaurante;R.S.S. Comercial de Al;16.07
22/04/2021;restaurante;Ifood *Ifood;54
22/04/2021;;Pagamento recebido;-7000
22/04/2021;restaurante;Red Smash;50
22/04/2021;restaurante;Ifood *Ifood;25.69
23/04/2021;restaurante;R.S.S. Comercial de Al;7.52
24/04/2021;restaurante;R.S.S. Comercial de Al;14.97
24/04/2021;restaurante;Ifood *Ifood;31
24/04/2021;restaurante;Pag*Sanmeirestaurante;19.27
24/04/2021;restaurante;Ifood *Ifood;44.39
26/04/2021;saúde;2791 Drogasil;25.91
26/04/2021;restaurante;Ifood *Ifood;40
26/04/2021;restaurante;Ifd*Ifood;46.19
26/04/2021;restaurante;99 Food Delivery Tecno;27.42
26/04/2021;restaurante;Ifd*Ifood;32.59
27/04/2021;restaurante;Ifood *Ifood;26.9
29/04/2021;restaurante;Ifood *Ifood;34.39
